iter	Passed	Remaining
879	10157	1385
880	10166	1373
881	10179	1361
882	10189	1350
883	10200	1338
884	10211	1326
885	10221	1315
886	10230	1303
887	10242	1291
888	10252	1280
889	10263	1268
890	10272	1256
891	10281	1244
892	10292	1233
893	10303	1221
894	10313	1209
895	10323	1198
896	10336	1186
897	10345	1175
898	10356	1163
899	10366	1151
900	10378	1140
901	10388	1128
902	10400	1117
903	10412	1105
904	10423	1094
905	10434	1082
906	10442	1070
907	10452	1059
908	10464	1047
909	10475	1036
910	10485	1024
911	10497	1012
912	10507	1001
913	10517	989
914	10527	977
915	10536	966
916	10546	954
917	10557	943
918	10569	931
919	10579	919
920	10591	908
921	10602	896
922	10614	885
923	10624	873
924	10635	862
925	10646	850
926	10656	839
927	10667	827
928	10678	816
929	10689	804
930	10701	793
931	10711	781
932	10721	769
933	10732	758
934	10743	746
935	10753	735
936	10765	723
937	10775	712
938	10787	700
939	10799	689
940	10810	677
941	10820	666
942	10831	654
943	10842	643
944	10852	631
945	10865	620
946	10875	608
947	10887	597
948	10899	585
949	10911	574
950	10921	562
951	10931	551
952	10941	539
953	10951	528
954	10963	516
955	10974	505
956	10986	493
957	10996	482
958	11007	470
959	11017	459
960	11028	447
961	11038	436
962	11050	424
963	11062	413
964	11072	401
965	11084	390
966	11096	378
967	11108	367
968	11119	355
969	11129	344
970	11141	332
971	11152	321
972	11163	309
973	11172	298
974	11181	286
975	11191	275
976	11202	263
977	11211	252
978	11223	240
979	11234	229
980	11243	217
981	11254	206
982	11265	194
983	11274	183
984	11284	171
985	11292	160
986	11304	148
987	11314	137
988	11328	125
989	11339	114
990	11352	103
991	11363	91
992	11375	80
993	11387	68
994	11399	57
995	11408	45
996	11418	34
997	11428	22
998	11439	11
999	11449	0
